Segundos(s),Canal 1(V),Canal 2(V)
-30.45000E-03,-16.52060322E+00,-3.34170857E+00
-30.40000E-03,-16.92261327E+00,-2.41206032E+00
-30.35000E-03,-16.82211076E+00,-2.41206032E+00
-30.30000E-03,-16.92261327E+00,-2.41206032E+00
-30.25000E-03,-16.87236202E+00,-2.43718595E+00
-30.20000E-03,-17.22412081E+00,-2.41206032E+00
-30.15000E-03,-16.52060322E+00,-2.41206032E+00
-30.10000E-03,-16.87236202E+00,-2.61306535E+00
-30.05000E-03,-16.82211076E+00,-2.41206032E+00
-30.00000E-03,-16.87236202E+00,-2.41206032E+00
-29.95000E-03,-16.87236202E+00,-2.41206032E+00
-29.90000E-03,-16.82211076E+00,-2.41206032E+00
-29.85000E-03,-17.22412081E+00,-2.43718595E+00
-29.80000E-03,-16.87236202E+00,-2.43718595E+00
-29.75000E-03,-16.82211076E+00,-2.41206032E+00
-29.70000E-03,-16.52060322E+00,-2.43718595E+00
-29.65000E-03,-4.76180916E+00,-3.36683420E+00
-29.60000E-03,-7.22412074E+00,-1.63316584E+00
-29.55000E-03,-1.09346742E+00,-603.01508E-03
-29.50000E-03,+4.08241202E+00,+402.01005E-03
-29.45000E-03,+7.70050250E+00,+804.02011E-03
-29.40000E-03,+10.46432161E+00,+1.55778896E+00
-29.35000E-03,+12.47437188E+00,+2.01005027E+00
-29.30000E-03,+13.68040204E+00,+2.61306535E+00
-29.25000E-03,+14.53467340E+00,+2.38693469E+00
-29.20000E-03,+15.28844225E+00,+2.81407037E+00
-29.15000E-03,+15.74070356E+00,+1.40703519E+00
-29.10000E-03,+16.09246236E+00,+2.78894475E+00
-29.05000E-03,+16.44422116E+00,+3.21608043E+00
-29.00000E-03,+16.49447241E+00,+3.01507540E+00
-28.95000E-03,+16.59497493E+00,+2.81407037E+00
-28.90000E-03,+16.89648247E+00,+2.68844223E+00
-28.85000E-03,+16.89648247E+00,+2.63819098E+00
-28.80000E-03,+16.84623121E+00,+2.01005027E+00
-28.75000E-03,+16.84623121E+00,+2.81407037E+00
-28.70000E-03,+16.89648247E+00,+653.26634E-03
-28.65000E-03,+16.49447241E+00,+2.98994977E+00
-28.60000E-03,+16.84623121E+00,+3.21608043E+00
-28.55000E-03,+16.49447241E+00,+3.21608043E+00
-28.50000E-03,+16.89648247E+00,+2.66331660E+00
-28.45000E-03,+16.89648247E+00,+2.63819098E+00
-28.40000E-03,+16.14271362E+00,+2.98994977E+00
-28.35000E-03,+16.89648247E+00,+2.43718595E+00
-28.30000E-03,+16.89648247E+00,+3.01507540E+00
-28.25000E-03,+16.89648247E+00,+2.51256283E+00
-28.20000E-03,+16.84623121E+00,+3.21608043E+00
-28.15000E-03,+16.89648247E+00,+3.21608043E+00
-28.10000E-03,+16.84623121E+00,+3.19095480E+00
-28.05000E-03,+16.84623121E+00,+3.01507540E+00
-28.00000E-03,+16.89648247E+00,+3.01507540E+00
-27.95000E-03,+17.19799001E+00,+3.04020103E+00
-27.90000E-03,+16.89648247E+00,+3.19095480E+00
-27.85000E-03,+16.89648247E+00,+3.01507540E+00
-27.80000E-03,+16.54472367E+00,+3.04020103E+00
-27.75000E-03,+16.84623121E+00,+3.01507540E+00
-27.70000E-03,+16.89648247E+00,+3.01507540E+00
-27.65000E-03,+16.89648247E+00,+3.01507540E+00
-27.60000E-03,+16.54472367E+00,+3.01507540E+00
-27.55000E-03,+16.84623121E+00,+3.21608043E+00
-27.50000E-03,+16.54472367E+00,+3.01507540E+00
-27.45000E-03,+16.84623121E+00,+3.01507540E+00
-27.40000E-03,+16.54472367E+00,+3.04020103E+00
-27.35000E-03,+16.54472367E+00,+3.19095480E+00
-27.30000E-03,+16.54472367E+00,+3.04020103E+00
-27.25000E-03,+16.89648247E+00,+2.98994977E+00
-27.20000E-03,+16.54472367E+00,+3.21608043E+00
-27.15000E-03,+16.89648247E+00,+3.01507540E+00
-27.10000E-03,+17.24824126E+00,+3.01507540E+00
-27.05000E-03,+16.89648247E+00,+3.04020103E+00
-27.00000E-03,+16.54472367E+00,+3.04020103E+00
-26.95000E-03,+16.89648247E+00,+3.01507540E+00
-26.90000E-03,+16.94673372E+00,+3.04020103E+00
-26.85000E-03,+16.84623121E+00,+3.01507540E+00
-26.80000E-03,+16.54472367E+00,+3.01507540E+00
-26.75000E-03,+16.89648247E+00,+3.01507540E+00
-26.70000E-03,+16.94673372E+00,+3.01507540E+00
-26.65000E-03,+16.84623121E+00,+3.01507540E+00
-26.60000E-03,+16.89648247E+00,+3.01507540E+00
-26.55000E-03,+16.49447241E+00,+3.01507540E+00
-26.50000E-03,+16.84623121E+00,+3.01507540E+00
-26.45000E-03,+16.54472367E+00,+3.01507540E+00
-26.40000E-03,+16.89648247E+00,+3.01507540E+00
-26.35000E-03,+16.89648247E+00,+3.01507540E+00
-26.30000E-03,+16.84623121E+00,+3.04020103E+00
-26.25000E-03,+16.49447241E+00,+3.01507540E+00
